"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"23483","WATTSVILLE, VA","B","D",0,"D",0,"D",0,1,"WATTSVILLE","VA","ACCOMACK"
"23486","WILLIS WHARF, VA","B","D",0,"D",0,"D",0,3,"WILLIS WHARF","VA","NORTHAMPTON"
"23487","WINDSOR, VA",,"H",1515,"H",13725,"H",59520,104,"WINDSOR","VA","ISLE OF WIGHT"
"23501","NORFOLK, VA",,"G",569,"G",7228,"G",27625,22,"NORFOLK","VA","NORFOLK CITY"
"23502","NORFOLK, VA",,"G",28511,"G",351920,"G",1381397,1121,"NORFOLK","VA","NORFOLK CITY"
"23503","NORFOLK, VA",,"G",1623,"G",7810,"G",32871,227,"NORFOLK","VA","NORFOLK CITY"
"23504","NORFOLK, VA",,"G",4540,"G",39157,"G",175926,272,"NORFOLK","VA","NORFOLK CITY"
"23505","NORFOLK, VA",,"H",7589,"H",65336,"H",273270,433,"NORFOLK","VA","NORFOLK CITY"
"23506","NORFOLK, VA","A","D",0,"D",0,"D",0,2,"NORFOLK","VA","NORFOLK CITY"
"23507","NORFOLK, VA",,"H",7683,"H",101969,"H",431800,150,"NORFOLK","VA","NORFOLK CITY"
"23508","NORFOLK, VA",,"H",3386,"H",25147,"H",104881,224,"NORFOLK","VA","NORFOLK CITY"
"23509","NORFOLK, VA",,"G",1756,"H",16808,"H",69064,152,"NORFOLK","VA","NORFOLK CITY"
"23510","NORFOLK, VA",,"G",17369,"G",220510,"G",892135,997,"NORFOLK","VA","NORFOLK CITY"
"23511","NORFOLK, VA",,"G",2673,"G",36304,"G",143259,163,"NORFOLK","VA","NORFOLK CITY"
"23513","NORFOLK, VA",,"H",14203,"H",191518,"H",766472,405,"NORFOLK","VA","NORFOLK CITY"
"23514","NORFOLK, VA",,"J",22,"J",85,"J",336,6,"NORFOLK","VA","NORFOLK CITY"
"23515","NORFOLK, VA","A","D",0,"D",0,"D",0,2,"NORFOLK","VA","NORFOLK CITY"
"23517","NORFOLK, VA",,"G",5681,"G",37896,"G",166450,447,"NORFOLK","VA","NORFOLK CITY"
"23518","NORFOLK, VA",,"G",6304,"G",38992,"G",161824,536,"NORFOLK","VA","NORFOLK CITY"
"23520","NORFOLK, VA","A","D",0,"D",0,"D",0,1,"NORFOLK","VA","NORFOLK CITY"
"23521","NORFOLK, VA",,"H",486,"G",3486,"G",12618,22,"NORFOLK","VA","NORFOLK CITY"
"23523","NORFOLK, VA",,"G",4580,"G",59834,"G",262251,73,"NORFOLK","VA","NORFOLK CITY"
"23529","NORFOLK, VA","E","D",0,"D",0,"D",0,2,"NORFOLK","VA","NORFOLK CITY"
"23541","NORFOLK, VA",,"J",179,"H",1226,"H",5934,9,"NORFOLK","VA","NORFOLK CITY"
"23551","NORFOLK, VA",,"H",361,"G",7244,"G",28645,39,"NORFOLK","VA","NORFOLK CITY"
"23601","NEWPORT NEWS, VA",,"H",11709,"H",138291,"H",531364,605,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23602","NEWPORT NEWS, VA",,"G",16615,"H",157557,"H",619514,810,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23603","NEWPORT NEWS, VA",,"G",2467,"G",33067,"G",131441,73,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23604","FORT EUSTIS, VA",,"H",1067,"H",14491,"H",61866,58,"FORT EUSTIS","VA","NEWPORT NEWS CITY"
"23605","NEWPORT NEWS, VA",,"G",4066,"G",34102,"G",133841,267,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23606","NEWPORT NEWS, VA",,"G",18328,"G",210664,"G",902130,1138,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23607","NEWPORT NEWS, VA",,"J",29172,"J",595264,"J",1923575,340,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23608","NEWPORT NEWS, VA",,"G",4903,"G",35271,"G",147018,475,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23609","NEWPORT NEWS, VA",,"J",84,"H",399,"H",1552,6,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23612","NEWPORT NEWS, VA",,"J",139,"J",770,"J",4576,7,"NEWPORT NEWS","VA","NEWPORT NEWS CITY"
"23630","HAMPTON, VA","A","D",0,"D",0,"D",0,1,"HAMPTON","VA","HAMPTON CITY"
"23651","FORT MONROE, VA",,"H",279,"H",4242,"H",17364,17,"FORT MONROE","VA","HAMPTON CITY"
"23661","HAMPTON, VA",,"G",5390,"G",57662,"G",249773,331,"HAMPTON","VA","HAMPTON CITY"
"23662","POQUOSON, VA",,"G",1229,"G",6910,"G",32293,190,"POQUOSON","VA","POQUOSON CITY"
"23663","HAMPTON, VA",,"G",1270,"G",7521,"G",30898,151,"HAMPTON","VA","HAMPTON CITY"
"23664","HAMPTON, VA",,"H",379,"H",2053,"H",9723,98,"HAMPTON","VA","HAMPTON CITY"
"23665","HAMPTON, VA",,"G",907,"G",15804,"G",67241,82,"HAMPTON","VA","YORK"
"23666","HAMPTON, VA",,"G",22776,"G",191070,"G",808073,1115,"HAMPTON","VA","HAMPTON CITY"
"23667","HAMPTON, VA","G","D",0,"D",0,"D",0,7,"HAMPTON","VA","HAMPTON CITY"
"23668","HAMPTON, VA","G","D",0,"D",0,"D",0,3,"HAMPTON","VA","HAMPTON CITY"
"23669","HAMPTON, VA",,"G",5522,"G",39459,"G",161450,540,"HAMPTON","VA","HAMPTON CITY"
"23670","HAMPTON, VA",,"J",233,"J",3563,"J",14572,8,"HAMPTON","VA","HAMPTON CITY"
"23681","HAMPTON, VA",,"G",799,"G",12865,"G",62474,21,"HAMPTON","VA","HAMPTON CITY"
"23690","YORKTOWN, VA",,"H",766,"H",7730,"H",31660,44,"YORKTOWN","VA","YORK"
"23691","YORKTOWN, VA",,"G",154,"G",1938,"G",8361,13,"YORKTOWN","VA","YORK"
"23692","YORKTOWN, VA",,"G",4067,"G",32992,"G",145889,454,"YORKTOWN","VA","YORK"
"23693","YORKTOWN, VA",,"G",4695,"G",31169,"G",137941,452,"YORKTOWN","VA","YORK"
"23694","LACKEY, VA","A","D",0,"D",0,"D",0,2,"LACKEY","VA","YORK"
"23696","SEAFORD, VA",,"G",570,"G",5070,"G",21603,65,"SEAFORD","VA","YORK"
"23701","PORTSMOUTH, VA",,"G",5696,"G",37859,"G",161355,431,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23702","PORTSMOUTH, VA",,"G",1939,"G",14481,"G",61745,154,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23703","PORTSMOUTH, VA",,"G",3879,"G",40082,"G",166539,278,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23704","PORTSMOUTH, VA",,"G",6892,"G",58515,"G",246530,421,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23705","PORTSMOUTH, VA",,"G",105,"G",1155,"G",5212,6,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23707","PORTSMOUTH, VA",,"H",6381,"H",63215,"H",300060,317,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23708","PORTSMOUTH, VA",,"J",1963,"J",25300,"J",101132,20,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23709","PORTSMOUTH, VA",,"G",165,"G",2234,"G",8515,17,"PORTSMOUTH","VA","PORTSMOUTH CITY"
"23801","FORT LEE, VA",,"G",683,"G",6772,"G",25765,56,"FORT LEE","VA","PRINCE GEORGE"
"23803","PETERSBURG, VA",,"G",11047,"G",91930,"G",380301,635,"PETERSBURG","VA","PETERSBURG CITY"
"23804","PETERSBURG, VA",,"H",169,"G",1130,"G",5808,17,"PETERSBURG","VA","PETERSBURG CITY"
"23805","PETERSBURG, VA",,"G",5913,"G",51366,"G",205204,350,"PETERSBURG","VA","PETERSBURG CITY"
"23806","VIRGINIA STATE UNIVERSITY, VA","C","D",0,"D",0,"D",0,5,"VIRGINIA STATE UNIVERSITY","VA","PETERSBURG CITY"
"23821","ALBERTA, VA",,"G",156,"G",1177,"G",5171,20,"ALBERTA","VA","BRUNSWICK"
"23824","BLACKSTONE, VA",,"G",1926,"H",11959,"G",51143,196,"BLACKSTONE","VA","NOTTOWAY"
"23827","BOYKINS, VA",,"H",431,"H",3257,"H",14671,21,"BOYKINS","VA","SOUTHAMPTON"
"23828","BRANCHVILLE, VA",,"J",14,"J",65,"J",292,4,"BRANCHVILLE","VA","SOUTHAMPTON"
"23829","CAPRON, VA",,"J",48,"J",276,"J",1192,15,"CAPRON","VA","SOUTHAMPTON"
"23830","CARSON, VA",,"J",89,"J",938,"J",3932,15,"CARSON","VA","DINWIDDIE"
"23831","CHESTER, VA",,"G",9363,"G",70806,"G",300781,629,"CHESTER","VA","CHESTERFIELD"
"23832","CHESTERFIELD, VA",,"H",3987,"H",25955,"H",115379,535,"CHESTERFIELD","VA","CHESTERFIELD"
"23833","CHURCH ROAD, VA",,"G",72,"G",489,"G",2233,24,"CHURCH ROAD","VA","DINWIDDIE"
"23834","COLONIAL HEIGHTS, VA",,"G",14885,"G",117671,"G",487229,831,"COLONIAL HEIGHTS","VA","COLONIAL HEIGHTS CITY"
"23836","CHESTER, VA",,"G",13876,"G",145078,"G",605334,290,"CHESTER","VA","CHESTERFIELD"
"23837","COURTLAND, VA",,"G",1040,"G",10034,"H",49769,90,"COURTLAND","VA","SOUTHAMPTON"
"23838","CHESTERFIELD, VA",,"G",1021,"G",6980,"G",32421,197,"CHESTERFIELD","VA","CHESTERFIELD"
"23839","DENDRON, VA",,"J",95,"H",885,"H",3871,8,"DENDRON","VA","SURRY"
"23840","DEWITT, VA",,"H",34,"H",239,"G",1119,11,"DEWITT","VA","DINWIDDIE"
"23841","DINWIDDIE, VA",,"G",315,"G",1894,"G",8000,50,"DINWIDDIE","VA","DINWIDDIE"
"23842","DISPUTANTA, VA",,"J",1477,"J",19498,"J",72449,68,"DISPUTANTA","VA","PRINCE GEORGE"
"23843","DOLPHIN, VA",,"J",56,"J",317,"J",1421,8,"DOLPHIN","VA","BRUNSWICK"
"23844","DREWRYVILLE, VA",,"H",44,"J",587,"J",2153,10,"DREWRYVILLE","VA","SOUTHAMPTON"
"23845","EBONY, VA",,"H",89,"H",925,"H",3538,12,"EBONY","VA","BRUNSWICK"
"23846","ELBERON, VA",,"J",8,"J",22,"J",69,3,"ELBERON","VA","SURRY"
"23847","EMPORIA, VA",,"H",4811,"H",32190,"H",137339,310,"EMPORIA","VA","EMPORIA CITY"
"23850","FORD, VA",,"G",14,"J",90,"H",365,6,"FORD","VA","DINWIDDIE"
"23851","FRANKLIN, VA",,"G",4281,"G",34427,"G",142385,334,"FRANKLIN","VA","FRANKLIN CITY"
"23856","FREEMAN, VA",,"J",125,"H",1781,"H",7573,12,"FREEMAN","VA","BRUNSWICK"
"23857","GASBURG, VA",,"G",265,"G",1893,"G",8764,32,"GASBURG","VA","BRUNSWICK"
"23860","HOPEWELL, VA",,"G",6706,"H",76763,"H",319983,479,"HOPEWELL","VA","HOPEWELL CITY"
"23866","IVOR, VA",,"G",162,"G",1040,"G",4589,30,"IVOR","VA","SOUTHAMPTON"
"23867","JARRATT, VA",,"J",837,"J",7220,"J",31898,29,"JARRATT","VA","GREENSVILLE"
"23868","LAWRENCEVILLE, VA",,"H",1345,"H",9137,"G",40531,118,"LAWRENCEVILLE","VA","BRUNSWICK"
"23872","MC KENNEY, VA",,"G",196,"G",1427,"G",6389,33,"MC KENNEY","VA","DINWIDDIE"
"23874","NEWSOMS, VA",,"J",55,"J",494,"J",2117,9,"NEWSOMS","VA","SOUTHAMPTON"
"23875","PRINCE GEORGE, VA",,"G",6430,"G",47831,"G",197377,220,"PRINCE GEORGE","VA","PRINCE GEORGE"
"23876","RAWLINGS, VA",,"J",7,"J",31,"G",169,4,"RAWLINGS","VA","BRUNSWICK"
"23878","SEDLEY, VA",,"J",74,"H",405,"H",2129,15,"SEDLEY","VA","SOUTHAMPTON"
"23879","SKIPPERS, VA",,"H",215,"H",1099,"H",4780,13,"SKIPPERS","VA","GREENSVILLE"
"23881","SPRING GROVE, VA",,"J",41,"H",188,"H",839,14,"SPRING GROVE","VA","SURRY"
"23882","STONY CREEK, VA",,"H",681,"H",5475,"H",23896,46,"STONY CREEK","VA","SUSSEX"
"23883","SURRY, VA","G","D",0,"D",0,"D",0,38,"SURRY","VA","SURRY"
"23884","SUSSEX, VA",,"G",6,"J",24,"J",85,3,"SUSSEX","VA","SUSSEX"
"23885","SUTHERLAND, VA",,"J",1251,"J",14837,"J",59219,36,"SUTHERLAND","VA","DINWIDDIE"
"23887","VALENTINES, VA",,"J",23,"J",98,"J",452,7,"VALENTINES","VA","BRUNSWICK"
"23888","WAKEFIELD, VA",,"G",549,"G",2716,"G",12747,51,"WAKEFIELD","VA","SUSSEX"
"23889","WARFIELD, VA",,"G",76,"H",321,"H",1479,5,"WARFIELD","VA","BRUNSWICK"
"23890","WAVERLY, VA",,"G",744,"G",7049,"G",28346,72,"WAVERLY","VA","SUSSEX"
"23891","WAVERLY, VA","A","D",0,"D",0,"D",0,1,"WAVERLY","VA","SUSSEX"
"23893","WHITE PLAINS, VA",,"G",6,"H",25,"G",127,3,"WHITE PLAINS","VA","BRUNSWICK"
"23894","WILSONS, VA",,"J",11,"H",48,"J",190,4,"WILSONS","VA","DINWIDDIE"
"23897","YALE, VA",,"J",3,"J",10,"J",73,4,"YALE","VA","SUSSEX"
"23898","ZUNI, VA",,"J",124,"J",514,"J",2272,14,"ZUNI","VA","ISLE OF WIGHT"
"23899","CLAREMONT, VA",,"H",46,"H",302,"H",1371,6,"CLAREMONT","VA","SURRY"
"23901","FARMVILLE, VA",,"G",5897,"H",41976,"G",176984,479,"FARMVILLE","VA","PRINCE EDWARD"
"23909","FARMVILLE, VA",,"H",183,"H",1355,"H",5898,5,"FARMVILLE","VA","PRINCE EDWARD"
"23915","BASKERVILLE, VA",,"J",22,"H",102,"H",488,8,"BASKERVILLE","VA","MECKLENBURG"
"23917","BOYDTON, VA",,"J",518,"J",10731,"J",36911,44,"BOYDTON","VA","MECKLENBURG"
"23919","BRACEY, VA",,"G",320,"G",1623,"G",8114,47,"BRACEY","VA","MECKLENBURG"
"23920","BRODNAX, VA",,"J",271,"H",1828,"H",7978,38,"BRODNAX","VA","BRUNSWICK"
"23921","BUCKINGHAM, VA",,"G",204,"G",1055,"G",5928,42,"BUCKINGHAM","VA","BUCKINGHAM"
"23922","BURKEVILLE, VA",,"J",1225,"J",6317,"J",26367,37,"BURKEVILLE","VA","NOTTOWAY"
"23923","CHARLOTTE COURT HOUSE, VA",,"G",208,"H",1270,"H",5350,42,"CHARLOTTE COURT HOUSE","VA","CHARLOTTE"
"23924","CHASE CITY, VA",,"G",1059,"G",7248,"G",29671,111,"CHASE CITY","VA","MECKLENBURG"
"23927","CLARKSVILLE, VA",,"G",1164,"G",8129,"G",35083,126,"CLARKSVILLE","VA","MECKLENBURG"
"23930","CREWE, VA",,"G",711,"H",6565,"H",27550,89,"CREWE","VA","NOTTOWAY"
"23934","CULLEN, VA",,"J",97,"J",451,"J",1838,8,"CULLEN","VA","CHARLOTTE"
"23936","DILLWYN, VA",,"G",1045,"H",8683,"H",36262,136,"DILLWYN","VA","BUCKINGHAM"
"23937","DRAKES BRANCH, VA",,"G",178,"G",1155,"G",4606,31,"DRAKES BRANCH","VA","CHARLOTTE"
"23938","DUNDAS, VA","B","D",0,"D",0,"D",0,3,"DUNDAS","VA","LUNENBURG"
"23939","EVERGREEN, VA",,"J",6,"J",20,"J",94,4,"EVERGREEN","VA","APPOMATTOX"
"23942","GREEN BAY, VA",,"J",67,"J",560,"J",2138,14,"GREEN BAY","VA","PRINCE EDWARD"
"23943","HAMPDEN SYDNEY, VA","F","D",0,"D",0,"D",0,4,"HAMPDEN SYDNEY","VA","PRINCE EDWARD"
"23944","KENBRIDGE, VA",,"H",1056,"G",6719,"H",30242,83,"KENBRIDGE","VA","LUNENBURG"
"23947","KEYSVILLE, VA",,"G",967,"G",7641,"G",32762,104,"KEYSVILLE","VA","CHARLOTTE"
"23950","LA CROSSE, VA",,"G",871,"H",7294,"G",31804,72,"LA CROSSE","VA","MECKLENBURG"
"23952","LUNENBURG, VA",,"H",28,"H",179,"G",765,5,"LUNENBURG","VA","LUNENBURG"
"23954","MEHERRIN, VA",,"J",100,"H",475,"H",2186,22,"MEHERRIN","VA","PRINCE EDWARD"
"23955","NOTTOWAY, VA","A","D",0,"D",0,"D",0,1,"NOTTOWAY","VA","NOTTOWAY"
"23958","PAMPLIN, VA",,"G",93,"G",482,"H",3286,28,"PAMPLIN","VA","APPOMATTOX"
"23959","PHENIX, VA",,"H",97,"G",643,"G",2571,14,"PHENIX","VA","CHARLOTTE"
"23960","PROSPECT, VA",,"J",58,"J",380,"J",1822,23,"PROSPECT","VA","PRINCE EDWARD"
"23962","RANDOLPH, VA",,"J",33,"J",225,"J",1523,5,"RANDOLPH","VA","CHARLOTTE"
"23963","RED HOUSE, VA",,"G",15,"H",25,"H",104,3,"RED HOUSE","VA","CHARLOTTE"
"23964","RED OAK, VA",,"H",147,"H",1348,"H",6368,20,"RED OAK","VA","CHARLOTTE"
"23966","RICE, VA",,"J",147,"H",972,"H",4144,35,"RICE","VA","PRINCE EDWARD"
"23967","SAXE, VA",,"H",65,"G",411,"G",1606,11,"SAXE","VA","CHARLOTTE"
"23968","SKIPWITH, VA",,"J",143,"J",969,"J",4837,15,"SKIPWITH","VA","MECKLENBURG"
"23970","SOUTH HILL, VA",,"G",5481,"G",38258,"G",166832,327,"SOUTH HILL","VA","MECKLENBURG"
"23974","VICTORIA, VA",,"G",501,"G",2531,"G",10804,60,"VICTORIA","VA","LUNENBURG"
"23976","WYLLIESBURG, VA",,"H",90,"H",602,"H",2808,7,"WYLLIESBURG","VA","CHARLOTTE"
"24001","ROANOKE, VA",,"J",56,"H",545,"H",2678,5,"ROANOKE","VA","ROANOKE CITY"
"24002","ROANOKE, VA",,"G",70,"G",336,"G",1550,4,"ROANOKE","VA","ROANOKE CITY"
"24004","ROANOKE, VA",,"H",46,"H",227,"H",699,5,"ROANOKE","VA","ROANOKE CITY"
"24006","ROANOKE, VA","B","D",0,"D",0,"D",0,2,"ROANOKE","VA","ROANOKE CITY"
"24007","ROANOKE, VA","B","D",0,"D",0,"D",0,2,"ROANOKE","VA","ROANOKE CITY"
"24008","ROANOKE, VA","A","D",0,"D",0,"D",0,2,"ROANOKE","VA","ROANOKE CITY"
"24010","ROANOKE, VA",,"H",53,"G",275,"H",1097,4,"ROANOKE","VA","ROANOKE CITY"
"24011","ROANOKE, VA",,"G",7230,"G",114267,"G",434993,327,"ROANOKE","VA","ROANOKE CITY"
"24012","ROANOKE, VA",,"G",23927,"G",231846,"G",890900,998,"ROANOKE","VA","ROANOKE CITY"
"24013","ROANOKE, VA",,"H",2123,"H",22728,"H",95130,123,"ROANOKE","VA","ROANOKE CITY"
"24014","ROANOKE, VA",,"H",14517,"H",168980,"H",708494,477,"ROANOKE","VA","ROANOKE CITY"
"24015","ROANOKE, VA",,"G",4945,"G",39395,"G",161724,319,"ROANOKE","VA","ROANOKE CITY"
"24016","ROANOKE, VA",,"G",6491,"G",59402,"G",270490,439,"ROANOKE","VA","ROANOKE CITY"
"24017","ROANOKE, VA",,"G",4981,"G",42397,"G",169845,324,"ROANOKE","VA","ROANOKE CITY"
"24018","ROANOKE, VA",,"G",12767,"G",117837,"G",509287,1110,"ROANOKE","VA","ROANOKE"
"24019","ROANOKE, VA",,"G",15606,"G",159471,"G",630376,626,"ROANOKE","VA","ROANOKE"
"24020","ROANOKE, VA",,"J",12,"G",79,"G",288,3,"ROANOKE","VA","ROANOKE"
"24022","ROANOKE, VA",,"G",536,"H",10699,"H",33027,9,"ROANOKE","VA","ROANOKE CITY"
"24023","ROANOKE, VA","B","D",0,"D",0,"D",0,3,"ROANOKE","VA","ROANOKE CITY"
"24024","ROANOKE, VA",,"J",340,"J",3497,"J",13138,4,"ROANOKE","VA","ROANOKE CITY"
"24025","ROANOKE, VA","B","D",0,"D",0,"D",0,3,"ROANOKE","VA","ROANOKE CITY"
"24026","ROANOKE, VA","B","D",0,"D",0,"D",0,1,"ROANOKE","VA","ROANOKE CITY"
"24028","ROANOKE, VA","A","D",0,"D",0,"D",0,3,"ROANOKE","VA","ROANOKE CITY"
"24031","ROANOKE, VA","A","D",0,"D",0,"D",0,1,"ROANOKE","VA","ROANOKE CITY"
"24033","ROANOKE, VA","A","D",0,"D",0,"D",0,1,"ROANOKE","VA","ROANOKE CITY"
"24034","ROANOKE, VA",,"G",13,"H",80,"J",303,3,"ROANOKE","VA","ROANOKE CITY"
"24035","ROANOKE, VA","A","D",0,"D",0,"D",0,1,"ROANOKE","VA","ROANOKE CITY"
"24037","ROANOKE, VA","B","D",0,"D",0,"D",0,3,"ROANOKE","VA","ROANOKE CITY"
"24038","ROANOKE, VA","E","D",0,"D",0,"D",0,4,"ROANOKE","VA","ROANOKE CITY"
"24040","ROANOKE, VA","B","D",0,"D",0,"D",0,2,"ROANOKE","VA","ROANOKE CITY"
"24043","ROANOKE, VA","A","D",0,"D",0,"D",0,1,"ROANOKE","VA","ROANOKE CITY"
"24053","ARARAT, VA",,"H",88,"H",343,"H",1319,25,"ARARAT","VA","PATRICK"
"24054","AXTON, VA",,"J",324,"H",2048,"H",8382,49,"AXTON","VA","HENRY"
"24055","BASSETT, VA",,"G",1172,"G",8930,"G",36576,138,"BASSETT","VA","HENRY"
"24058","BELSPRING, VA","A","D",0,"D",0,"D",0,1,"BELSPRING","VA","PULASKI"
"24059","BENT MOUNTAIN, VA",,"J",47,"J",297,"J",1002,11,"BENT MOUNTAIN","VA","ROANOKE"
"24060","BLACKSBURG, VA",,"G",13107,"G",129728,"G",557444,896,"BLACKSBURG","VA","MONTGOMERY"
"24061","BLACKSBURG, VA",,"H",511,"H",2292,"H",10613,21,"BLACKSBURG","VA","MONTGOMERY"
"24062","BLACKSBURG, VA",,"J",29,"J",198,"J",780,6,"BLACKSBURG","VA","MONTGOMERY"
"24063","BLACKSBURG, VA",,"H",133,"G",865,"G",3826,25,"BLACKSBURG","VA","MONTGOMERY"
"24064","BLUE RIDGE, VA",,"G",291,"H",3465,"H",14831,57,"BLUE RIDGE","VA","BOTETOURT"
"24065","BOONES MILL, VA",,"G",612,"G",3183,"G",14005,106,"BOONES MILL","VA","FRANKLIN"
"24066","BUCHANAN, VA",,"H",560,"G",4242,"G",18580,84,"BUCHANAN","VA","BOTETOURT"
"24067","CALLAWAY, VA",,"J",142,"H",994,"H",4952,28,"CALLAWAY","VA","FRANKLIN"
"24068","CHRISTIANSBURG, VA",,"H",588,"H",6177,"H",26942,24,"CHRISTIANSBURG","VA","MONTGOMERY"
"24069","CASCADE, VA",,"H",86,"H",305,"H",1509,15,"CASCADE","VA","PITTSYLVANIA"
"24070","CATAWBA, VA",,"J",80,"H",365,"H",1904,20,"CATAWBA","VA","ROANOKE"
"24072","CHECK, VA",,"J",68,"J",517,"J",2464,10,"CHECK","VA","FLOYD"
"24073","CHRISTIANSBURG, VA",,"G",12876,"G",97001,"G",407154,814,"CHRISTIANSBURG","VA","MONTGOMERY"
"24076","CLAUDVILLE, VA",,"H",62,"G",351,"G",1435,10,"CLAUDVILLE","VA","PATRICK"
"24077","CLOVERDALE, VA",,"H",1294,"H",18631,"H",99213,41,"CLOVERDALE","VA","BOTETOURT"
"24078","COLLINSVILLE, VA",,"G",1875,"G",8650,"G",35990,162,"COLLINSVILLE","VA","HENRY"
"24079","COPPER HILL, VA",,"H",62,"H",206,"G",1456,19,"COPPER HILL","VA","FLOYD"
"24082","CRITZ, VA",,"J",11,"J",27,"H",132,5,"CRITZ","VA","PATRICK"
"24083","DALEVILLE, VA",,"G",2221,"H",19360,"H",80135,145,"DALEVILLE","VA","BOTETOURT"
"24084","DUBLIN, VA",,"H",6846,"H",73192,"H",287993,219,"DUBLIN","VA","PULASKI"
"24085","EAGLE ROCK, VA",,"J",268,"J",3184,"J",13268,20,"EAGLE ROCK","VA","BOTETOURT"
"24086","EGGLESTON, VA","B","D",0,"D",0,"D",0,1,"EGGLESTON","VA","GILES"
"24087","ELLISTON, VA",,"H",811,"H",7149,"H",30869,41,"ELLISTON","VA","MONTGOMERY"
"24088","FERRUM, VA",,"H",1351,"H",5462,"H",22666,51,"FERRUM","VA","FRANKLIN"
"24089","FIELDALE, VA",,"J",733,"J",11240,"J",39043,29,"FIELDALE","VA","HENRY"
"24090","FINCASTLE, VA",,"G",498,"G",3298,"G",14473,84,"FINCASTLE","VA","BOTETOURT"
"24091","FLOYD, VA",,"G",1850,"G",11830,"G",51053,245,"FLOYD","VA","FLOYD"
"24092","GLADE HILL, VA",,"G",256,"G",1784,"G",7958,54,"GLADE HILL","VA","FRANKLIN"
"24093","GLEN LYN, VA",,"G",143,"H",2405,"H",9138,10,"GLEN LYN","VA","GILES"
"24095","GOODVIEW, VA",,"J",98,"G",635,"G",2816,37,"GOODVIEW","VA","BEDFORD"
"24101","HARDY, VA",,"G",700,"G",4924,"G",21712,116,"HARDY","VA","FRANKLIN"
"24102","HENRY, VA",,"G",101,"G",571,"G",2543,18,"HENRY","VA","FRANKLIN"
"24104","HUDDLESTON, VA",,"G",350,"G",2012,"G",9758,66,"HUDDLESTON","VA","BEDFORD"
"24105","INDIAN VALLEY, VA",,"J",22,"J",64,"J",271,4,"INDIAN VALLEY","VA","FLOYD"
"24111","MC COY, VA","A","D",0,"D",0,"D",0,3,"MC COY","VA","MONTGOMERY"
"24112","MARTINSVILLE, VA",,"G",13310,"G",95751,"G",412140,775,"MARTINSVILLE","VA","MARTINSVILLE CITY"
"24113","MARTINSVILLE, VA",,"J",19,"J",144,"J",525,4,"MARTINSVILLE","VA","MARTINSVILLE CITY"
"24114","MARTINSVILLE, VA",,"H",82,"G",881,"G",3604,13,"MARTINSVILLE","VA","MARTINSVILLE CITY"
"24115","MARTINSVILLE, VA",,"H",655,"H",6007,"H",25351,29,"MARTINSVILLE","VA","MARTINSVILLE CITY"
"24120","MEADOWS OF DAN, VA",,"G",527,"G",3223,"G",16092,30,"MEADOWS OF DAN","VA","PATRICK"
"24121","MONETA, VA",,"G",1419,"G",9019,"G",42105,282,"MONETA","VA","BEDFORD"
"24122","MONTVALE, VA",,"G",228,"G",1876,"G",7581,39,"MONTVALE","VA","BEDFORD"
"24124","NARROWS, VA",,"G",1278,"H",15662,"H",64354,51,"NARROWS","VA","GILES"
"24126","NEWBERN, VA","B","D",0,"D",0,"D",0,1,"NEWBERN","VA","PULASKI"
"24127","NEW CASTLE, VA",,"J",284,"H",1851,"H",8019,51,"NEW CASTLE","VA","CRAIG"
"24128","NEWPORT, VA",,"G",207,"G",1223,"G",5707,29,"NEWPORT","VA","GILES"
"24129","NEW RIVER, VA","A","D",0,"D",0,"D",0,1,"NEW RIVER","VA","PULASKI"
"24131","PAINT BANK, VA",,"H",36,"G",199,"G",1080,4,"PAINT BANK","VA","CRAIG"
"24133","PATRICK SPRINGS, VA",,"J",101,"H",732,"H",2919,23,"PATRICK SPRINGS","VA","PATRICK"
"24134","PEARISBURG, VA",,"H",1327,"H",9964,"H",41497,123,"PEARISBURG","VA","GILES"
"24136","PEMBROKE, VA",,"G",229,"G",1784,"H",9001,35,"PEMBROKE","VA","GILES"
"24137","PENHOOK, VA",,"H",152,"H",768,"H",3776,33,"PENHOOK","VA","FRANKLIN"
"24138","PILOT, VA",,"J",39,"H",211,"G",940,10,"PILOT","VA","MONTGOMERY"
"24141","RADFORD, VA",,"G",6220,"G",60578,"G",246770,398,"RADFORD","VA","RADFORD"
"24142","RADFORD, VA",,"H",516,"H",970,"H",4196,17,"RADFORD","VA","RADFORD"
